time,x,y,theta_rad,ps0,ps7,ps5,ps2,ps1,ps3,ps4,ps6,z_k_raw,d_k_kalman,estado
0.032,0.0,0.0,0.0,67.79212422639874,67.0684301241127,112.91081034994481,71.72911516248047,68.71471178911493,124.58079112284774,65.12323371561816,69.9682797330093,67.43,51.89,AVANZANDO_RECTO
0.064,0.0019,0.0,0.0,69.65102445933502,65.04791981242943,112.73352399872577,62.72145560694713,66.59716278911816,116.41800276405682,67.91515692747836,65.80231044871363,67.35,58.65,AVANZANDO_RECTO
0.096,0.0039,0.0,0.0,62.822918280007435,70.8050159716955,105.50738976905504,64.97159379863234,67.04181261225409,114.30484274381726,64.47864997406009,68.08024756492544,66.81,61.16,AVANZANDO_RECTO
0.128,0.0059,-0.0,-0.0,72.76020843703861,64.9405119371097,106.46526505176267,63.73115423201242,68.85290062479334,110.13465734606643,66.5327113795977,74.82776379635463,68.85,62.99,AVANZANDO_RECTO
0.16,0.0079,-0.0,-0.0,66.83767316804558,59.88680879021298,112.18514254406898,57.39907490458216,60.77796243616181,109.52050941524276,58.89512668185592,71.09819316326478,63.36,63.06,AVANZANDO_RECTO
0.192,0.0098,-0.0,-0.0,67.05578931199047,64.9923054327153,109.93391778182955,71.89432167303846,72.75844863056024,103.55384054250884,61.55329742905028,67.55304238632345,66.02,63.56,AVANZANDO_RECTO
0.224,0.0117,-0.0,-0.0,71.16212433205023,72.53495022642717,94.73094591759265,67.12673896939106,66.8273302930709,97.6988078695992,65.57367933306284,64.85075973104982,71.85,64.8,AVANZANDO_RECTO
0.256,0.0138,-0.0,-0.0,70.14256897284444,68.78820378143172,105.3370639964194,61.35353119302679,69.06712798467719,93.89530566426053,65.33383297651572,81.29923851476573,69.47,65.43,AVANZANDO_RECTO
0.288,0.0157,-0.0,-0.0,63.284387955928416,63.746205481911275,111.09169771648818,74.12034531958615,63.42266960946911,85.01245611208186,66.61464121437402,89.03566697526674,63.52,65.19,AVANZANDO_RECTO
0.32,0.0176,-0.0,-0.0,72.93291398885066,66.56417159222529,104.49257993674321,69.67955265263906,69.4194044118152,74.76486770901437,73.48717565907434,98.14727381788909,69.75,65.72,AVANZANDO_RECTO
0.352,0.0196,0.0,0.0025,82.63503087286198,73.45421843247843,104.59786603794255,60.3387528670366,66.60973873555463,66.057044923859,67.73475469462775,106.2564980233982,78.04,67.06,AVANZANDO_RECTO
0.384,0.0216,0.0,-0.0,90.60814956339533,68.48916154555997,107.20268733645551,62.182255119418606,68.6791909262602,61.45962502793987,67.8788553899973,111.12035738581099,79.55,68.35,AVANZANDO_RECTO
0.416,0.0236,0.0,-0.0,103.28453339951274,69.76329198996213,101.79096890355629,66.02356361090541,65.16600472560347,71.23676795223558,65.37089541997756,119.58297082651218,86.52,70.16,AVANZANDO_RECTO
0.448,0.0255,0.0,-0.0,107.03273659133984,65.36160816712817,94.40965283137537,69.29532875800695,67.67297929552656,62.06946648486711,66.30708791724884,125.02401733478162,86.2,71.69,AVANZANDO_RECTO
0.48,0.0276,0.0,-0.0,116.55096895803375,63.58387453688988,83.33195373033243,67.12451686069434,73.65669671443409,63.063389288891486,63.23479131612567,127.20933578391273,90.07,73.4,AVANZANDO_RECTO
0.512,0.0295,0.0,-0.0,106.74088849922963,67.34719874909506,84.60651072905897,69.33403643362249,66.10801796624938,67.37587211248999,65.98725132236257,141.03873058383303,87.04,74.64,AVANZANDO_RECTO
0.544,0.0314,0.0,-0.0,111.15406543172014,67.00608341256661,77.20898235356016,63.97857443854257,67.02902438839966,62.7770968956903,67.2133859354629,145.27004819121734,89.08,75.92,AVANZANDO_RECTO
0.576,0.0334,0.0,0.0025,127.25275943323128,64.65618201947163,66.08886473456576,67.93551449444392,68.84568910579472,68.93266534337046,60.30423657014282,151.10167600697105,95.95,77.66,EVADIENDO_DER
0.608,0.0334,0.0,-0.0619,119.51566189638791,70.41759489663002,69.95946624903753,65.77056237111917,66.65255882211127,69.24433567175825,65.75628917288054,167.53919918410338,94.97,79.14,EVADIENDO_DER
0.64,0.0334,0.0,-0.1213,115.78371764735317,65.15718145869552,57.99336251098871,62.879301611515196,72.49250264138178,62.22424815227174,69.92697390725652,162.5214746820552,90.47,80.1,EVADIENDO_DER
0.672,0.0334,0.0,-0.1807,102.99709049466972,98.16428423348492,66.48074128735796,68.00210673660054,63.6217357561494,67.16666388645595,66.7193409479038,159.23033874005378,100.58,81.81,EVADIENDO_DER
0.704,0.0334,0.0,-0.2401,63.59491020911424,113.99982939476916,70.07303290827403,62.48480808713583,70.76433702472498,67.76150680946114,65.90611952637524,154.4672485445692,88.8,82.39,EVADIENDO_DER
0.736,0.0333,0.0,-0.302,70.30293326684695,106.33201776059012,63.78834611737698,72.24533433367228,68.10968392290023,68.83517578254886,67.59186521978165,145.14874286178818,88.32,82.88,AVANZANDO_RECTO
0.768,0.0353,-0.0006,-0.302,61.13992342024029,122.70186784822063,64.54200724186639,66.4682076704985,71.62685227003976,73.18001375996928,66.32879368162986,160.73255097893627,91.92,83.61,EVADIENDO_DER
0.8,0.0353,-0.0006,-0.3639,61.60455394270448,146.24550162562053,69.84891334879892,70.11542486395969,66.83039183891319,64.93063205367022,64.93473809872776,147.28945086803083,103.93,85.26,AVANZANDO_RECTO
0.832,0.0371,-0.0013,-0.3615,71.00232970353942,141.63076386097856,68.78600714611939,69.04923747046836,66.97532554235619,66.13298915438094,65.1814748731116,144.1905768198434,106.32,86.96,AVANZANDO_RECTO
0.864,0.0389,-0.002,-0.3615,66.0489140725588,142.46661165290192,64.00172385323336,64.08473507772814,69.5200391717406,67.37941858184395,66.58705531443566,150.60540610229933,104.26,88.34,EVADIENDO_DER
0.896,0.039,-0.002,-0.4234,68.19446888992493,176.49195245339965,69.33000903218414,64.70579087942907,62.73852068767644,64.82585171743116,66.5962860543612,140.03382422922266,122.34,91.06,EVADIENDO_DER
0.928,0.039,-0.002,-0.4828,67.38995048102235,170.68657326835577,75.05963398062659,68.03143010633288,69.1459437570925,73.28201161373205,66.29680865927644,119.84255188425834,119.04,93.29,EVADIENDO_DER
0.96,0.0389,-0.002,-0.5447,70.05887111468668,165.74561877706208,109.17194249318906,68.10623313004513,68.45938644181113,69.47435152469842,64.81653064506779,67.63386395514527,117.9,95.25,EVADIENDO_DER
0.992,0.0389,-0.002,-0.6041,68.26566612316678,167.6029918892107,113.2240316029867,64.97994650145726,63.977090639753634,69.80364990706575,68.53292398688916,65.40960487042054,117.93,97.05,EVADIENDO_DER
1.024,0.039,-0.002,-0.666,61.08304121625122,149.19858366190243,144.51465216335342,68.83450051222306,64.81566347712115,67.6713748985976,73.41985464554149,91.1608258010279,105.14,97.69,AVANZANDO_RECTO
1.056,0.0405,-0.0032,-0.666,67.84275555263676,173.47567599652874,142.6583699530419,66.53523061676134,64.9620656935114,65.63433757572432,66.25912301548948,107.4469142487463,120.66,99.51,EVADIENDO_DER
1.088,0.0405,-0.0032,-0.7254,66.70523222625043,166.05923602806388,153.65130332777582,68.45714000787711,69.57860819154764,69.18179880543511,80.6042160839604,140.3407646437355,116.38,100.84,EVADIENDO_DER
1.12,0.0405,-0.0032,-0.7848,63.93030761970016,155.88586512966484,152.43946760097907,65.58889202253395,67.5460744203481,70.75142888342315,84.4045672263733,155.57321248351408,109.91,101.56,EVADIENDO_DER
1.152,0.0405,-0.0032,-0.8442,68.88363469423108,122.38475069699604,163.30529284959127,59.91759350751059,67.96822811360045,70.44373551592953,94.59425008870966,163.94056582112654,95.63,101.09,EVADIENDO_DER
1.184,0.0405,-0.0032,-0.9086,64.86489478572544,114.55607695687831,167.03585411119343,73.33785553714537,64.37886847464853,66.57741822584765,97.79008732154394,182.83803253652556,89.71,100.19,EVADIENDO_DER
1.216,0.0405,-0.0032,-0.968,69.4342126191179,67.71404436049659,183.21142694768332,62.05856642316769,64.21991962298705,65.25175123494662,91.42584742216465,192.6200388510764,68.57,97.71,EVADIENDO_DER
1.248,0.0405,-0.0032,-1.0274,67.1313692535349,67.76805542177145,158.28549473500712,64.69805490636143,69.08951836223979,62.681070036660934,86.86901231705772,209.65975705560922,67.45,95.33,EVADIENDO_DER
1.28,0.0405,-0.0032,-1.0869,60.621618139376125,61.11794510113439,167.6713462900383,59.569401773136995,66.94680100554386,69.19499455455633,68.16328870436658,202.8036199218996,60.87,92.62,EVADIENDO_DER
